   eV     spectrum    DOS     nm
 2.500000 0.000000 0.000000 495.936962
 2.560000 0.000000 0.000002 484.313440
 2.620000 0.000007 0.000037 473.222292
 2.680000 0.000102 0.000528 462.627763
 2.740000 0.001070 0.005548 452.497228
 2.800000 0.008166 0.042327 442.800859
 2.860000 0.045262 0.234619 433.511331
 2.920000 0.182291 0.944909 424.603563
 2.980000 0.533430 2.765045 416.054498
 3.040000 1.134162 5.878951 407.842896
 3.100000 1.752097 9.082030 399.949163
 3.160000 1.966648 10.194158 392.355192
 3.220000 1.603911 8.313909 385.044225
 3.280000 0.950429 4.926581 378.000733
 3.340000 0.409213 2.121356 371.210301
 3.400000 0.128067 0.666114 364.659531
 3.460000 0.029556 0.172595 358.335955
 3.520000 0.007648 0.159633 352.227956
 3.580000 0.013358 0.608788 346.324694
 3.640000 0.041810 1.979506 340.616045
 3.700000 0.099135 4.698610 335.092542
 3.760000 0.170986 8.105957 329.745321
 3.820000 0.214296 10.174310 324.566075
 3.880000 0.195227 9.365105 319.547012
 3.940000 0.129608 6.663529 314.680814
 4.000000 0.063801 4.790521 309.960601
 4.060000 0.025947 5.649086 305.379903
 4.120000 0.013130 8.919651 300.932623
 4.180000 0.011015 12.624855 296.613016
 4.240000 0.009887 14.925428 292.415662
 4.300000 0.007279 15.195899 288.335443
 4.360000 0.004333 13.388931 284.367524
 4.420000 0.002184 9.781009 280.507332
 4.480000 0.000956 5.607984 276.750537
 4.540000 0.000354 2.427481 273.093041
 4.600000 0.000105 0.776921 269.530958
 4.660000 0.000024 0.182056 266.060602
 4.720000 0.000004 0.031099 262.678476
 4.780000 0.000000 0.003865 259.381256
 4.840000 0.000000 0.000349 256.165786
 4.900000 0.000000 0.000023 253.029062
 4.960000 0.000000 0.000001 249.968227
 5.020000 0.000000 0.000000 246.980559
 5.080000 0.000000 0.000000 244.063466
 5.140000 0.000000 0.000000 241.214476
 5.200000 0.000000 0.000000 238.431232
 5.260000 0.000000 0.000000 235.711484
 5.320000 0.000000 0.000000 233.053084
 5.380000 0.000000 0.000000 230.453979
 5.440000 0.000000 0.000000 227.912207
 5.500000 0.000000 0.000000 225.425892
