   eV     spectrum    DOS     nm
 2.500000 0.018796 0.055736 495.936962
 2.560000 0.043753 0.130647 484.313440
 2.620000 0.094229 0.283527 473.222292
 2.680000 0.187801 0.569792 462.627763
 2.740000 0.346449 1.060648 452.497228
 2.800000 0.591709 1.829224 442.800859
 2.860000 0.935841 2.923621 433.511331
 2.920000 1.370946 4.331859 424.603563
 2.980000 1.860633 5.952771 416.054498
 3.040000 2.340030 7.592124 407.842896
 3.100000 2.727738 8.998318 399.949163
 3.160000 2.947927 9.935334 392.355192
 3.220000 2.954704 10.269081 385.044225
 3.280000 2.748176 10.029674 378.000733
 3.340000 2.374657 9.416947 371.210301
 3.400000 1.910906 8.739597 364.659531
 3.460000 1.439696 8.308542 358.335955
 3.520000 1.027158 8.326786 352.227956
 3.580000 0.709870 8.820815 346.324694
 3.640000 0.493960 9.641577 340.616045
 3.700000 0.363218 10.533925 335.092542
 3.760000 0.290832 11.244064 329.745321
 3.820000 0.249951 11.617708 324.566075
 3.880000 0.220388 11.646112 319.547012
 3.940000 0.190947 11.442466 314.680814
 4.000000 0.158325 11.165514 309.960601
 4.060000 0.124172 10.931911 305.379903
 4.120000 0.091916 10.760467 300.932623
 4.180000 0.064456 10.570645 296.613016
 4.240000 0.043143 10.228528 292.415662
 4.300000 0.027829 9.612829 288.335443
 4.360000 0.017468 8.669689 284.367524
 4.420000 0.010743 7.435643 280.507332
 4.480000 0.006488 6.024614 276.750537
 4.540000 0.003838 4.589268 273.093041
 4.600000 0.002208 3.274791 269.530958
 4.660000 0.001227 2.182804 266.060602
 4.720000 0.000653 1.355947 262.678476
 4.780000 0.000331 0.783532 259.381256
 4.840000 0.000159 0.420526 256.165786
 4.900000 0.000072 0.209367 253.029062
 4.960000 0.000031 0.096598 249.968227
 5.020000 0.000012 0.041269 246.980559
 5.080000 0.000005 0.016315 244.063466
 5.140000 0.000002 0.005965 241.214476
 5.200000 0.000001 0.002017 238.431232
 5.260000 0.000000 0.000630 235.711484
 5.320000 0.000000 0.000182 233.053084
 5.380000 0.000000 0.000049 230.453979
 5.440000 0.000000 0.000012 227.912207
 5.500000 0.000000 0.000003 225.425892
